Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
4.375756857566788e-13,4.060062025702608e-13,3.296913167087059e-13,4.2989272190001146e-13,5.135869313522418e-13,2.7274874834328265e-13,5.223406445132218e-13
3.23039353352592e-13,4.531666244941121e-13,6.096024736568479e-13,4.474583527014237e-13,3.5538873466313773e-13,3.616916986694655e-13,3.038083034052653e-13
4.3359634488449204e-13,4.844898020435125e-13,3.949110683379004e-13,3.0931406636292937e-13,4.217888434457663e-13,3.6347449004018283e-13,3.645792071504799e-13
2.7737101315905897e-13,3.192480451792419e-13,5.806279361498603e-13,4.385345740306561e-13,3.6496826367172453e-13,3.2209978061736575e-13,3.6846476499406794e-13
4.087623996541882e-13,3.7565786595424506e-13,5.228590212637875e-13,4.941628320599675e-13,3.507728978853565e-13,3.3329629081989093e-13,4.4937054408123373e-13
3.914577737852788e-13,2.868256575837335e-13,6.108350116518981e-13,4.1219485582632824e-13,3.637965843994892e-13,4.763802584308558e-13,4.595813431144328e-13
4.30673582510332e-13,4.207943807014571e-13,5.275633095163941e-13,4.185396290881063e-13,2.842239474625453e-13,2.646421180411004e-13,3.076547723851503e-13
4.947871560317762e-13,2.735820942952458e-13,7.745382694535805e-13,2.822931562712677e-13,3.531437828275693e-13,4.904338280766931e-13,3.670980313791714e-13
3.537819811337997e-13,4.013726661620375e-13,2.5505688885159176e-13,4.148412241740509e-13,4.15258815636549e-13,3.761702490766553e-13,3.150760189995593e-13
5.058669704912869e-13,4.33752816186487e-13,5.395813875214732e-13,4.61236376887896e-13,3.67390306887113e-13,4.39863662966468e-13,4.564675220611491e-13
3.411235805626269e-13,5.0487757505202e-13,8.422123775984193e-13,4.412267928852237e-13,3.182992069555141e-13,5.032358356589237e-13,4.858782470624769e-13
4.66359230669906e-13,3.557842233852303e-13,5.001992521324666e-13,4.594401473801263e-13,4.0564532034237803e-13,3.5952144038980165e-13,3.4611727289285375e-13
4.898386606216466e-13,4.315148385085997e-13,5.198452748256911e-13,4.0363044099756133e-13,4.27888786259545e-13,4.333247837162826e-13,5.18526187183159e-13
4.680956517070433e-13,4.818280604311363e-13,6.873259397300527e-13,4.705477908227128e-13,4.588023643595514e-13,5.162621124269899e-13,5.176737462441919e-13
4.342259668300566e-13,3.6651473083251353e-13,8.874211677412214e-13,4.704149950567113e-13,3.5110859959961485e-13,3.35037166742722e-13,3.610523452292504e-13
3.738536355906405e-13,4.578849790047987e-13,3.31495016958904e-13,4.461530426033277e-13,4.1817769885039497e-13,5.236653554815893e-13,5.374151470981379e-13
3.470182533100232e-13,5.543995601873285e-13,5.150611521527626e-13,5.021348707898802e-13,5.303604959258819e-13,3.2989248667212185e-13,3.2384694508944415e-13
3.505821670390875e-13,4.638184364296138e-13,4.1284317461776743e-13,4.095772470283208e-13,3.7388425679225153e-13,4.675836901349069e-13,2.724145656480899e-13
3.997112094856977e-13,4.024905028042109e-13,5.411175139172725e-13,3.7232146570413137e-13,5.503954191939491e-13,5.463239797696792e-13,3.489705029041927e-13
2.7970423441246413e-13,5.490790920038575e-13,6.984349310497086e-13,3.4698957476911697e-13,5.578347011185483e-13,3.096683670834445e-13,3.7092272413956e-13
3.201449701354259e-13,4.006395263690783e-13,9.034510217439416e-13,3.995690376721481e-13,3.983242483476154e-13,2.825108025976668e-13,2.568226707871503e-13
3.6051481302241383e-13,5.72701543104508e-13,9.22834895142317e-13,3.207977368291126e-13,5.62490357491427e-13,2.849884437216227e-13,5.213434037369698e-13
