Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
69184144834.27531,79898811594.5467,68465837420.76109,85205460567.91776,81443318539.81007,94275064159.99506,90402796131.62006
72322375570.47769,81798829535.8072,34809787299.58363,90066083517.046,102461543531.4404,61754536128.17527,121088854835.02193
72359223648.45128,66523697841.2634,55777950318.50632,137879107819.21924,94384614227.36372,60564137484.82749,114430719893.14108
94021585717.38573,72870819716.07394,36415881907.32453,97948694169.29369,120684395172.74226,71773356195.68423,108872534008.38087
77406059073.19778,85701547849.92867,42202262998.84413,90191428424.13657,97572337450.19193,68601600989.06321,64903120220.260254
83175097843.39413,89202104129.42935,33306979908.15144,83573669470.38893,89465955434.64597,62109739531.29858,84615242450.88942
71554321460.49406,74933843668.90176,39889065117.49479,89249106955.44023,90030357766.8041,96385247807.29774,120181931009.12416
71003698996.02036,94933974272.90076,25950134059.310013,143097141110.66968,97274213506.39607,57960750320.69306,114198804797.06367
98915943253.64496,83454640820.2427,98338205332.4244,67699417390.83799,96432039827.51686,86669583068.15128,137562713824.6064
66963715122.92099,88186753242.92233,38661095281.60549,79531653850.34045,91298793763.90366,68208835452.89329,66467699981.66889
99583155429.2059,63134403064.08132,23181205972.76919,84822969242.32928,115869164633.1365,54599427769.16249,81987363513.8045
76358744798.14156,102672170435.2796,49585939532.32093,85430069879.4435,102339227827.07616,90140985159.4144,128486069729.81503
82721543466.25255,90050364980.34525,51512096344.26912,104551676920.4062,91259860536.79172,66989146003.121376,79328315405.12085
73197677053.69858,74731050157.38988,29403796708.512165,82491476286.90579,67509301136.54868,63158841934.64435,89247759636.58804
91463108804.52914,96602556468.04732,21326319262.10064,90206801739.18582,105443381413.82364,98166625171.87234,123114090745.5458
103671889607.57909,83161402196.686,96711428984.7592,97514654976.84631,97091178235.69632,59417156592.69448,88807267811.16446
63873833712.487335,75130784182.1302,46316589273.676125,89168227833.11426,78705070220.2187,97144864882.86365,106621462104.8996
90471220628.66824,78681558081.36589,66651668553.01607,81963092479.4228,116108414005.71896,70245304508.277,132543202307.91087
71383415106.80212,103898061764.49223,46959731427.96584,96942494942.19994,75531117374.4689,55170822432.24163,115562871314.8526
83705681923.00058,75267492544.62172,27145252577.26376,116448165176.973,86167497164.17664,75452235799.39272,109031097641.32828
75074973792.57993,101992663390.52477,20392479421.55935,89658673003.49696,108681107770.41516,81784919953.32564,98420088316.44383
86277434010.74232,81457083153.00073,34271612142.228645,123925959747.82336,85046870982.3596,80713423054.09962,90979293163.90752
82549871087.97691,102185793751.10712,37767119687.78599,66412268856.43796,83725364192.10457,75566971367.4658,91348412719.66605
75416919655.96378,81937708483.8502,66558346384.263565,78578266261.37132,90600492522.75748,77229130424.93733,99059403238.5708
74757244326.09537,81125899797.18988,33202319902.745445,91997889860.26524,80201404264.89116,77824661035.99925,111995089741.69849
87769494977.48967,82593465984.57729,26718424929.34327,132551227455.69913,78306785992.67216,88947495716.3675,136344391151.90648
75777633433.37003,108849010955.45296,19431649828.99816,82219302897.46373,96770228270.74677,78696811761.14307,64365049497.18387
84410744676.23691,66262415176.781006,32988387709.34681,91112211073.29391,113512999146.58908,73968396672.63478,63587390180.47115
82649163150.27586,73726172364.94987,35081893149.07088,89073812429.4154,97124494958.77122,93441098137.18263,85446516620.16577
83053883485.45586,72351765123.30714,48701809799.66296,84898519147.10641,113095410001.89964,76591025714.67862,113802464853.0264
78098593712.5029,97678102615.79982,69476049020.73912,127555808728.2487,134160600231.4768,76550932333.8244,65707255014.15321
93074643370.71428,64335476497.8404,76804532442.41751,88544057584.62598,63888387486.11683,80042242544.07408,82202208187.75893
77405137515.57736,93708318567.20409,46184227951.07422,139364046050.8271,93971567725.07338,83432649134.76459,84381844093.03596
84195219180.16606,63793924999.73695,41619771224.86951,68265570908.273415,116451953813.34525,76333116706.99243,104870836940.36992
71830849192.29019,60914384115.33228,45039001371.26956,82693714610.16379,67385254123.32935,73031065140.24492,94117987656.382
91373149216.9456,80672292162.16263,39087690088.30873,90584094986.1272,84713151457.42073,95713845164.7354,80329648807.95859
79822217643.01793,97124570132.1329,34287269393.369614,95244976602.96686,78635137310.51155,76777368215.71976,89590136369.40962
83479966526.95122,72120007763.25383,75209608973.10649,84821942349.21349,99448881296.73357,75278803598.21776,91052696615.761
73319064820.15157,85392277453.07619,70965296283.4861,91681804224.7028,111671741405.19112,72953544663.92436,89403608338.40866
85649222844.23492,93009574557.00682,36788321952.14892,143780001497.72592,79812904579.92001,74455309832.06285,106265050075.93024
95969462142.0302,75439863329.90225,32070409141.470493,84180517688.43488,77968756509.42014,72467866057.48155,117951052329.22562
81914990608.06136,70898034804.56665,102807290646.29732,95825018222.95505,93684939359.4972,77740348682.40424,136969565359.52846
101160333853.9193,81877864419.83293,37187997047.689,96795188188.50482,88908334755.15479,99179289210.70694,68554822662.85605
78169915529.13333,76018023451.05806,67256482480.64664,87667852862.68684,76469804157.68903,71169881742.63626,90685143928.274
78340095678.66534,79252621909.3447,29274574072.128616,108362347628.9948,87162199556.96208,88297163293.76065,116111267878.52864
82116055421.85628,79639789150.23912,30092267500.748287,144670984340.41763,83779192158.32486,100205110259.90344,99113982899.75612
75500871341.69861,82722845974.91269,34476104018.19809,79899534517.87741,85847099761.50726,70905238424.55853,115261156949.33098
93028310881.349,78705790729.7811,31564182552.94481,80769363747.1252,81654127366.8231,68226993947.13418,113702926903.32866
103555598872.24329,82183916388.28166,74860649349.69563,91563257762.98843,84740352251.76845,92856844380.46576,128769946426.78638
81639769696.9554,77465848835.6181,45679897303.5164,85176438561.72731,79091601374.03807,71771729525.85461,64541669007.66613
84423980711.09007,91974179001.18686,28138124116.694466,92548238002.39249,79839572071.75284,72142303441.23314,112658433490.84676
14543107259.75834,82119105632.054,29880568529.94868,83825855143.26872,101392606988.84294,100003078385.07162,114514105279.47304
67102896188.4054,100552273714.9586,34281028991.04556,82827265332.11855,95893184057.62482,74712915805.54749,131273549216.84384
79699226327.68536,66236900546.85465,30476835275.677,94480438050.08405,105742249776.21596,99906327518.26524,66892080275.28272
94488553160.3374,72653249130.06804,44267253869.62767,91290764387.56212,86483692579.4119,73349454384.91945,82046734390.95323
16313417807.18732,104594528200.3478,64061245522.26316,90935268782.59164,96253269019.27065,70726874330.42159,111050696552.62344
79623785340.56042,90694889938.82144,42827345700.44757,90129901116.89716,120235405375.97745,91941952361.20451,104056866842.66318
79622993891.5542,87860570948.14905,42333403254.95928,89276986723.03874,87712552682.02858,12602023372.63697,121929617662.103
94932975650.98611,83422516636.79301,40449494430.6318,87562454455.93181,92859970188.07536,77864295870.38492,79305771944.52429
16185795502.762072,87099645719.57217,41012317928.58281,78857687199.48993,108115409994.59885,11407220314.179272,89300715601.28513
95274295048.8626,63473185471.40939,38802918609.12541,85980516383.5962,67248896016.64868,77515512040.96559,117695594442.90569
80478161118.85658,100114776665.94247,30466474351.00302,95212097348.0883,100859521524.68756,69698484068.14885,89395519922.47832
14650684428.537804,89779393238.4129,95168750489.9842,141387883417.97342,98851277215.35889,92192081857.51204,106371461597.52373
74727092525.91121,93177780170.59937,64931930650.4881,82411079147.35468,104690020405.06017,13408859619.020046,115964123367.27554
77124470313.66666,84207982913.44186,29545740455.303368,90977916994.38,79415975723.1098,94154613481.3986,127882362478.86804
82670406615.22392,74797784456.61516,29466791012.515614,68005812758.26408,91826990414.2332,72610652566.47783,94981729885.9529
99295353324.60912,81407001618.33969,101431275996.26472,69550350783.37872,112306371671.2348,12023398433.62912,94838045191.79909
98956314038.73138,103576714856.3512,48131577244.945015,79414505021.27702,75887213369.20293,81683112096.83751,121142084574.76616
13113128249.316929,75448399628.01317,62456407396.24478,83793403985.83644,86087188903.40593,69219661691.72801,119515931404.15686
81149078847.65273,99667019589.98724,28446233095.860363,84198463696.50989,105725088282.63667,82008678339.51805,137996673200.4463
69965990011.47064,82822492608.29224,27674025533.69512,92596223094.62663,85582081408.46323,65638587257.65375,67774102913.67226
72489224939.7085,98894407783.94548,35250240523.62915,82913179255.5052,83573836196.04733,95227209349.86444,87195021987.76128
9744037183.473564,81413276885.25934,38665286569.41839,90257486813.43398,108003344578.57191,13288254543.486967,120640055034.86316
92238534457.45757,101931883014.02812,71073149277.04366,95401324046.59557,79460910062.81117,94840167877.83965,118061304026.31252
9456691851.098877,19668981146.966835,42938500111.00142,89435069511.71983,82731561154.94258,73781489771.1014,141086931560.76074
77633521658.68704,20381882126.08923,27298117605.62056,77186332156.19392,96066350440.37,12148081316.280697,86918396961.15416
10354417180.99735,89158304964.27008,27062592300.697426,86443776629.81067,120009849868.31624,85818655105.76207,94117114145.07951
91837830492.72928,93999728201.58664,34121888387.875683,116569712048.01118,101573771030.93088,92135734171.70357,127187743526.74644
9937758669.999165,18876289596.202663,36525480261.31466,85466301441.55876,23856062006.77848,70649777808.2609,83046780484.83476
89276713698.66977,86728628006.48393,46116676694.53105,94085594961.83852,31486031630.86888,10979491668.869356,93985544141.36935
78992251649.16112,21683189307.303867,6964750358.17588,67722524919.74327,89476812893.2942,9093412404.04596,122789002165.06528
9519565532.761084,64624984979.71968,10024036465.848026,129426320675.49664,102615432026.35774,89597502092.27783,92660173214.59732
74875107693.8977,101187148226.54887,7639005698.878363,125476472229.68655,27834116384.36188,7793986912.864759,112274225275.33585
76458940286.29744,91764048956.5258,43432331693.8486,137677066462.4978,68262762803.88776,71385790802.30981,133148397946.53372
82333328765.33789,17624128476.92143,6576351690.334121,137047769372.55688,116435838222.15616,7559893698.334265,121367410855.62411
95208560402.07468,76894849467.79863,42686363540.51765,143454339517.4454,103899682494.4795,70492568728.94589,31284225383.186127
92744343025.12224,83191095110.79308,5273336356.794287,79608522701.87442,24839698795.707954,89949042702.12445,70089723622.95888
71012350268.15904,106951920676.65102,95783032562.62526,85194421681.7024,69526625037.26584,8783889290.105782,91331375996.2246
89495402374.6463,74257416467.35217,11310325176.088793,107658072850.5778,104950986146.9958,77701363269.78581,121226227575.90591
73577610178.24142,102684206449.21864,32386368416.674053,84876825756.54367,98847696451.48926,70577157613.43929,120498804644.74998
82769404394.1664,100254681425.4576,4684939797.016165,91470994831.78088,81398566647.62352,8448821318.667255,139641872066.6435
88774828952.222,81907791246.58221,48709716474.42304,83446141109.71944,115988693541.5768,78673363562.53609,63717821983.515785
85457065292.96512,79342248341.3968,10067018831.891527,83203649649.64787,87717225246.7127,65944369583.188126,85721458263.6449
73609431631.39694,88369292132.10425,30285131176.379475,91140248649.20862,85941978968.63342,90183147544.27573,140250969415.84088
78931998782.51471,100979614683.10214,4441358993.210869,98019473020.13672,84015505077.87955,9106902868.754658,84001286406.48106
78363487000.6646,97012449147.31224,83104563412.64644,89924756377.2157,24511043891.976,90068930669.83948,93165855145.95482
81694112479.52785,10766270426.896725,45772757324.46061,90162707412.26582,97023011360.3818,72941283334.78572,127178723134.58163
92038163879.57751,10386568089.718311,63628042072.94727,103077619378.57677,77636418871.29282,8741166860.431015,91979163180.93806
87963333099.31601,90163508590.12189,7180604808.497717,78175528315.81339,119985279375.9721,82499800423.93816,133314100863.30151
92348922030.09888,10044689999.88378,28770564874.467693,85138721172.54553,100942430851.04094,69337843064.81528,121915291981.11078
73104023467.62523,89760816951.32423,4281583819.703572,111774918949.2783,12359242134.51907,8242078331.633726,12659828138.18564
89046731959.20699,90394861152.1146,33167274044.34383,81661496368.69318,99391850349.46672,7808421192.423658,67897279465.17268
101300058500.36333,65040256594.682144,36497443674.98608,90468979142.2347,119820283986.34204,86258115297.62149,88640791615.73769
66957996562.84517,83372098010.90707,61851675104.21458,67340708206.0621,119992138939.37192,84630411659.76907,92019096307.29362
92657670313.9493,11247680187.966269,6380086740.768312,69581895216.76581,12016072257.530396,74744501335.65083,90597610091.21312
76855753248.49716,60190784239.8453,26606739200.5647,,64106112432.98944,75627747675.17456,81436728563.3221
96117029959.37996,98734346389.2225,3914198107.455402,,115719983971.1396,86194047994.81282,122319025030.73688
80595110334.28242,90239982839.61816,31850708263.61518,,104084710264.66916,88446407187.43637,138927829822.3125
78396890044.79378,72276449652.4531,35050440932.43452,,11619040587.687784,90707931063.48524,62932324722.64404
78264871384.19165,83866524405.47342,41878741359.094894,,79162781665.15138,92766822716.6011,65588647576.676575
79356711946.42104,105587719752.85388,5028578613.306532,,102911104046.54588,85453940310.2848,64793151872.69086
96837325220.97374,71580503289.11792,5264658933.406792,,101240940810.68698,85418099633.2709,84107585480.81505
74037524785.85182,100981176882.59937,62156515545.72744,,123718497182.97604,78722411874.3498,139928176360.35406
92875504092.06158,79952072423.04451,5108245857.167887,,77489095640.67802,77836981168.78905,67203390199.84623
81958719867.8983,97806547362.42776,40421106343.09795,,88735292787.69818,92459385251.4928,65821525720.15905
82292818542.19116,78993318334.36032,4001515787.159984,,113928886954.39915,90281417788.20853,81499273055.33905
81660187841.42268,77116965901.26332,91496160767.20074,,84175778195.6048,77929571289.32187,83142736275.71106
89180164415.20802,81283818442.76021,38963266817.280464,,81816608786.51918,78931362098.83472,82391252164.68646
92473174430.91406,100513821048.864,3834556778.8680816,,105282017143.25745,80075952585.00058,90805698623.21877
82375187622.07886,65994869480.27533,51379377453.87728,,10606316145.225197,86182593364.07074,125683336448.55252
70885764907.70732,66066950655.61086,8025127589.042803,,97499560363.29414,88647912396.4318,80868229450.40338
88843859297.86288,89230278228.27295,31033370922.639366,,74653354086.0019,81777779659.63899,80090319459.01784
9162743283.617111,89870084710.21825,3715618479.903716,,80944399392.73819,81599454301.05421,88538797397.72604
74111310132.35454,62626953986.73195,75900160352.0036,,79683306077.81583,93282291175.53044,90631532587.03812
8919626928.290348,59733185184.81547,47889886535.63276,,118255184069.69536,80797082335.80513,89298549476.10193
89536003561.9296,64490190184.83244,63221359439.012726,,119582987377.16762,80627246144.04842,90352251166.24982
97453579482.18796,63617696404.2877,7692241984.064317,,61883922088.49751,78492987204.44617,89314291290.13924
9842121641.86591,97099972456.5998,27863307153.07464,,112841783331.68686,80481016055.09355,131560096368.40656
88794990342.28088,69063478499.25441,3595029886.575846,,68320577768.32001,79476028285.04095,67060056803.07127
73636214356.41197,102760968301.324,37335046262.73599,,67451305865.98083,84758587572.2728,91354698696.39224
9477858752.28527,67385337965.05135,44910161460.6937,,76873690122.19365,84009204894.40526,92726160925.80746
94001397826.3413,75958713882.8027,60134199088.86772,,103558247235.55064,8631361029.01264,99801121315.0102
70766454651.79472,74919640854.55537,5356428109.160904,,120792700639.42052,94629042293.09177,111880886970.27084
101242135232.40544,98760065053.17249,26076619972.46372,,73804240966.23862,85710312765.74872,149989372151.89203
95930852508.60852,75832676558.68668,3389371495.427635,,80761171057.45016,64080699217.90208,64592765902.46019
91843347387.87283,75172177841.33272,30292902528.189045,,79357291129.81776,7357045208.5647,65687962839.02552
102878532318.34692,76690618695.96225,35554275290.730515,,86129552514.97377,63874740524.15311,99891003702.08736
71187792486.33995,95778921850.23145,40451042946.8525,,112321075739.49126,61987730011.823845,86371050555.34816
65717625364.83278,74726335047.33229,5002719425.646186,,77372388951.02382,89610614668.00502,113527662996.9936
91600993854.86902,83469858824.12512,88371803960.92802,,75935868184.9178,85979892711.93729,150113154010.43192
92135462289.88452,81881388695.24861,25309345485.53495,,81283217530.22026,68180982898.50456,65977187919.91715
8938173979.033876,82670131377.81361,3371366838.0024147,,87229067634.77951,8227024890.150067,82466972858.30118
67758370572.80205,80616309609.28275,28276192456.793827,,85760771639.76225,98872155134.44504,85359850582.61795
