sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.1,0.3,0.057,1,0,-5.0,5.0,4.788234650723602e-13
0.1,0.3,0.057,1,0,-5.0,4.949832775919733,4.793557902626825e-13
0.1,0.3,0.057,1,0,-5.0,4.8996655518394645,4.798881154530046e-13
0.1,0.3,0.057,1,0,-5.0,4.849498327759197,4.804204406433269e-13
0.1,0.3,0.057,1,0,-5.0,4.79933110367893,4.819345133332783e-13
0.1,0.3,0.057,1,0,-5.0,4.749163879598663,4.84215275744668e-13
0.1,0.3,0.057,1,0,-5.0,4.698996655518394,4.864960381560577e-13
0.1,0.3,0.057,1,0,-5.0,4.648829431438127,4.887768005674471e-13
0.1,0.3,0.057,1,0,-5.0,4.59866220735786,4.9444371751042e-13
0.1,0.3,0.057,1,0,-5.0,4.548494983277592,4.994754844312071e-13
0.1,0.3,0.057,1,0,-5.0,4.498327759197324,5.011826229500265e-13
0.1,0.3,0.057,1,0,-5.0,4.448160535117057,5.028897614688459e-13
0.1,0.3,0.057,1,0,-5.0,4.397993311036789,5.039931665985185e-13
0.1,0.3,0.057,1,0,-5.0,4.3478260869565215,5.044644128161165e-13
0.1,0.3,0.057,1,0,-5.0,4.297658862876254,5.049356590337142e-13
0.1,0.3,0.057,1,0,-5.0,4.247491638795987,5.054069052513121e-13
0.1,0.3,0.057,1,0,-5.0,4.197324414715719,5.043139288743532e-13
0.1,0.3,0.057,1,0,-5.0,4.147157190635451,5.030481150202612e-13
0.1,0.3,0.057,1,0,-5.0,4.096989966555184,5.017823011661692e-13
0.1,0.3,0.057,1,0,-5.0,4.046822742474916,4.875266047323517e-13
0.1,0.3,0.057,1,0,-5.0,3.9966555183946486,4.446931666231392e-13
0.1,0.3,0.057,1,0,-5.0,3.9464882943143813,4.018597285139269e-13
0.1,0.3,0.057,1,0,-5.0,3.896321070234114,3.590262904047145e-13
0.1,0.3,0.057,1,0,-5.0,3.846153846153846,5.933619557291644e-12
0.1,0.3,0.057,1,0,-5.0,3.7959866220735785,1.3644308141261224e-11
0.1,0.3,0.057,1,0,-5.0,3.745819397993311,3.862459173478678e-10
0.1,0.3,0.057,1,0,-5.0,3.6956521739130435,7.861016039142552e-10
0.1,0.3,0.057,1,0,-5.0,3.6454849498327757,2.3193171867999183e-08
0.1,0.3,0.057,1,0,-5.0,3.5953177257525084,1.1548118862979603e-07
0.1,0.3,0.057,1,0,-5.0,3.5451505016722407,2.077692053915937e-07
0.1,0.3,0.057,1,0,-5.0,3.494983277591973,3.000572221533913e-07
0.1,0.3,0.057,1,0,-5.0,3.4448160535117056,2.8955998126115244e-06
0.1,0.3,0.057,1,0,-5.0,3.3946488294314383,6.830181879559528e-06
0.1,0.3,0.057,1,0,-5.0,3.3444816053511706,1.0764763946507566e-05
0.1,0.3,0.057,1,0,-5.0,3.294314381270903,1.5505822845355283e-05
0.1,0.3,0.057,1,0,-5.0,3.2441471571906355,3.214082746190411e-05
0.1,0.3,0.057,1,0,-5.0,3.1939799331103678,4.877583207845308e-05
0.1,0.3,0.057,1,0,-5.0,3.1438127090301,6.541083669500206e-05
0.1,0.3,0.057,1,0,-5.0,3.0936454849498327,8.682708123656773e-05
0.1,0.3,0.057,1,0,-5.0,3.0434782608695654,0.0001166703104584
0.1,0.3,0.057,1,0,-5.0,2.9933110367892977,0.0001508029974847
0.1,0.3,0.057,1,0,-5.0,2.94314381270903,0.0001914934542223
0.1,0.3,0.057,1,0,-5.0,2.8929765886287626,0.0002351022567573
0.1,0.3,0.057,1,0,-5.0,2.842809364548495,0.0002893822166259
0.1,0.3,0.057,1,0,-5.0,2.7926421404682276,0.0003436621764946
0.1,0.3,0.057,1,0,-5.0,2.74247491638796,0.0004015155419664
0.1,0.3,0.057,1,0,-5.0,2.692307692307692,0.0004748663789698
0.1,0.3,0.057,1,0,-5.0,2.6421404682274248,0.0005482172159732
0.1,0.3,0.057,1,0,-5.0,2.591973244147157,0.0006215680529767
0.1,0.3,0.057,1,0,-5.0,2.5418060200668897,0.0007082335048986
0.1,0.3,0.057,1,0,-5.0,2.491638795986622,0.000803798506521
0.1,0.3,0.057,1,0,-5.0,2.4414715719063547,0.0008993635081435
0.1,0.3,0.057,1,0,-5.0,2.391304347826087,0.0009951989916664
0.1,0.3,0.057,1,0,-5.0,2.341137123745819,0.0011145426219026
0.1,0.3,0.057,1,0,-5.0,2.290969899665552,0.0012338862521387
0.1,0.3,0.057,1,0,-5.0,2.240802675585284,0.0013532298823749
0.1,0.3,0.057,1,0,-5.0,2.190635451505017,0.0014832885848318
0.1,0.3,0.057,1,0,-5.0,2.140468227424749,0.0016279409182761
0.1,0.3,0.057,1,0,-5.0,2.0903010033444813,0.0017725932517205
0.1,0.3,0.057,1,0,-5.0,2.040133779264214,0.0019172455851648
0.1,0.3,0.057,1,0,-5.0,1.9899665551839463,0.0020842908198313
0.1,0.3,0.057,1,0,-5.0,1.939799331103679,0.0022557489605146
0.1,0.3,0.057,1,0,-5.0,1.8896321070234112,0.0024272071011978
0.1,0.3,0.057,1,0,-5.0,1.839464882943144,0.0026056641632486
0.1,0.3,0.057,1,0,-5.0,1.7892976588628762,0.002805415063376
