sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vth,Ion,ON_OFF_Ratio,SS
0.2,0.18,0.055,1,0,3.067162973,0.032439413,79898811595,140.0566963
0.2,0.18,0.055,1,1,3.801211636,0.0302733,69184144834,148.6273666
0.2,0.18,0.055,0,0,1.281327586,0.041828224,81443318540,99.58148871
0.2,0.18,0.055,0,1,2.169999026,0.036413678,1.02462E+11,134.6183337
0.2,0.18,0.057,1,0,2.02312669,0.039810377,94384614227,127.0831692
0.2,0.18,0.057,1,1,2.616282042,0.037068499,81798829536,129.4941389
0.2,0.18,0.057,0,0,0.621582785,0.047221055,90402796132,117.6330728
0.2,0.18,0.057,0,1,1.293685285,0.044045974,1.20684E+11,135.061477
0.2,0.18,0.05,1,0,5.668667244,0.022572592,68465837421,150.4314471
0.2,0.18,0.05,1,1,6.775176878,0.021220132,34809787300,169.6161857
0.2,0.18,0.05,0,0,3.103944369,0.032230053,66523697841,131.0106585
0.2,0.18,0.05,0,1,4.349297542,0.025713406,94275064160,146.5829666
0.2,0.1,0.055,1,0,1.287894993,0.034225732,97572337450,137.4836262
0.2,0.1,0.055,1,1,2.053867478,0.032547409,89465955435,138.0940222
0.2,0.1,0.055,0,0,-0.388040133,0.036629207,85205460568,118.0491011
0.2,0.1,0.055,0,1,0.371622496,0.0367878,1.21089E+11,133.238855
0.2,0.1,0.057,1,0,0.526070049,0.041719061,1.14431E+11,134.8577649
0.2,0.1,0.057,1,1,1.153819367,0.040115693,1.08873E+11,127.7188953
0.2,0.1,0.057,0,0,-0.723254162,0.040300821,90066083517,111.366041
0.2,0.1,0.057,0,1,-0.15242568,0.042647948,1.37879E+11,112.3391494
0.2,0.1,0.05,1,0,3.160611811,0.023263867,72870819716,149.4668451
0.2,0.1,0.05,1,1,4.308276819,0.022336103,61754536128,153.4675493
0.2,0.1,0.05,0,0,0.575858836,0.02916555,64903120220,120.8184732
0.2,0.1,0.05,0,1,1.757898648,0.025588784,90030357767,151.1295401
0.2,0.12,0.055,1,0,1.704463089,0.034351784,97274213506,130.5401042
0.2,0.12,0.055,1,1,2.492872734,0.032194461,85701547850,132.2075851
0.2,0.12,0.055,0,0,-0.039501101,0.038887587,84615242451,119.1175592
0.2,0.12,0.055,0,1,0.825579352,0.036974545,1.20182E+11,117.5835082
0.2,0.12,0.057,1,0,0.891953016,0.041922156,1.14199E+11,137.8514477
0.2,0.12,0.057,1,1,1.492132531,0.040044255,96432039828,123.8455751
0.2,0.12,0.057,0,0,-0.447061245,0.042953889,97948694169,105.2246155
0.2,0.12,0.057,0,1,0.208889456,0.043342712,1.37563E+11,110.4924318
0.2,0.12,0.05,1,0,3.784495642,0.023362973,72322375570,149.6823537
0.2,0.12,0.05,1,1,4.952793871,0.022013519,60564137485,164.4850338
0.2,0.12,0.05,0,0,1.17564218,0.030340346,66467699982,108.2937143
0.2,0.12,0.05,0,1,2.433471873,0.025585452,89202104129,137.3035714
