target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
Ioff_eq,ALL,0,4.0600620257026073e-13,7.209788321915767e-13,1.762790608859051e-13,3.131472496713842e-13,0.2,0.18,0.055,1,0,0.2,0.18,0.055,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,1,4.375756857566788e-13,7.209788321915767e-13,1.900689436576113e-13,3.131472496713842e-13,0.2,0.18,0.055,1,1,0.2,0.18,0.055,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,2,5.135869313522418e-13,7.209788321915767e-13,2.2304894301371804e-13,3.131472496713842e-13,0.2,0.18,0.055,0,0,0.2,0.18,0.055,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,3,3.553887346631377e-13,7.209788321915767e-13,1.5438882739515383e-13,3.131472496713842e-13,0.2,0.18,0.055,0,1,0.2,0.18,0.055,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,4,4.217888434457663e-13,7.209788321915767e-13,1.832222186450859e-13,3.131472496713842e-13,0.2,0.18,0.057,1,0,0.2,0.18,0.057,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,5,4.5316662449411206e-13,7.209788321915767e-13,1.968192359234813e-13,3.131472496713842e-13,0.2,0.18,0.057,1,1,0.2,0.18,0.057,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,6,5.223406445132218e-13,7.209788321915767e-13,2.268098201332739e-13,3.131472496713842e-13,0.2,0.18,0.057,0,0,0.2,0.18,0.057,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,7,3.6496826367172453e-13,7.209788321915767e-13,1.5853543550133147e-13,3.131472496713842e-13,0.2,0.18,0.057,0,1,0.2,0.18,0.057,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,8,3.296913167087059e-13,7.209788321915767e-13,1.4320262878313952e-13,3.131472496713842e-13,0.2,0.18,0.05,1,0,0.2,0.18,0.05,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,9,6.096024736568478e-13,7.209788321915767e-13,2.647078895687966e-13,3.131472496713842e-13,0.2,0.18,0.05,1,1,0.2,0.18,0.05,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,10,4.844898020435125e-13,7.209788321915767e-13,2.1041625320187628e-13,3.131472496713842e-13,0.2,0.18,0.05,0,0,0.2,0.18,0.05,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,11,2.7274874834328265e-13,7.209788321915767e-13,1.184194128927275e-13,3.131472496713842e-13,0.2,0.18,0.05,0,1,0.2,0.18,0.05,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,12,3.507728978853565e-13,7.209788321915767e-13,1.5236373971539264e-13,3.131472496713842e-13,0.2,0.1,0.055,1,0,0.2,0.1,0.055,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,13,3.637965843994892e-13,7.209788321915767e-13,1.579568390213997e-13,3.131472496713842e-13,0.2,0.1,0.055,1,1,0.2,0.1,0.055,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,14,4.2989272190001146e-13,7.209788321915767e-13,1.8669379752467626e-13,3.131472496713842e-13,0.2,0.1,0.055,0,0,0.2,0.1,0.055,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,15,3.038083034052653e-13,7.209788321915767e-13,1.3191999742446965e-13,3.131472496713842e-13,0.2,0.1,0.055,0,1,0.2,0.1,0.055,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,16,3.645792071504799e-13,7.209788321915767e-13,1.5834257000802087e-13,3.131472496713842e-13,0.2,0.1,0.057,1,0,0.2,0.1,0.057,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,17,3.684647649940679e-13,7.209788321915767e-13,1.5998192670116086e-13,3.131472496713842e-13,0.2,0.1,0.057,1,1,0.2,0.1,0.057,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,18,4.474583527014237e-13,7.209788321915767e-13,1.9431198451044387e-13,3.131472496713842e-13,0.2,0.1,0.057,0,0,0.2,0.1,0.057,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,19,3.0931406636292937e-13,7.209788321915767e-13,1.343308160908521e-13,3.131472496713842e-13,0.2,0.1,0.057,0,1,0.2,0.1,0.057,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,20,3.192480451792419e-13,7.209788321915767e-13,1.3867028969034056e-13,3.131472496713842e-13,0.2,0.1,0.05,1,0,0.2,0.1,0.05,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,21,3.616916986694655e-13,7.209788321915767e-13,1.5708894430150206e-13,3.131472496713842e-13,0.2,0.1,0.05,1,1,0.2,0.1,0.05,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,22,4.4937054408123373e-13,7.209788321915767e-13,1.9517987923034146e-13,3.131472496713842e-13,0.2,0.1,0.05,0,0,0.2,0.1,0.05,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,23,2.842239474625453e-13,7.209788321915767e-13,1.234339157188032e-13,3.131472496713842e-13,0.2,0.1,0.05,0,1,0.2,0.1,0.05,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,24,3.531437828275693e-13,7.209788321915767e-13,1.533280671819456e-13,3.131472496713842e-13,0.2,0.12,0.055,1,0,0.2,0.12,0.055,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,25,3.7565786595424506e-13,7.209788321915767e-13,1.6316420734078553e-13,3.131472496713842e-13,0.2,0.12,0.055,1,1,0.2,0.12,0.055,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,26,4.595813431144328e-13,7.209788321915767e-13,1.9961578557648456e-13,3.131472496713842e-13,0.2,0.12,0.055,0,0,0.2,0.12,0.055,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,27,3.076547723851503e-13,7.209788321915767e-13,1.3365578686426502e-13,3.131472496713842e-13,0.2,0.12,0.055,0,1,0.2,0.12,0.055,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,28,3.6709803137917134e-13,7.209788321915767e-13,1.594033302212291e-13,3.131472496713842e-13,0.2,0.12,0.057,1,0,0.2,0.12,0.057,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,29,4.15258815636549e-13,7.209788321915767e-13,1.8032923624542726e-13,3.131472496713842e-13,0.2,0.12,0.057,1,1,0.2,0.12,0.057,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,30,4.385345740306561e-13,7.209788321915767e-13,1.9045467464423245e-13,3.131472496713842e-13,0.2,0.12,0.057,0,0,0.2,0.12,0.057,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,31,3.150760189995593e-13,7.209788321915767e-13,1.368380675038899e-13,3.131472496713842e-13,0.2,0.12,0.057,0,1,0.2,0.12,0.057,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,32,3.2303935335259193e-13,7.209788321915767e-13,1.4030964638348062e-13,3.131472496713842e-13,0.2,0.12,0.05,1,0,0.2,0.12,0.05,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,33,3.6347449004018283e-13,7.209788321915767e-13,1.578604062747444e-13,3.131472496713842e-13,0.2,0.12,0.05,1,1,0.2,0.12,0.05,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,34,4.564675220611491e-13,7.209788321915767e-13,1.9826572712331056e-13,3.131472496713842e-13,0.2,0.12,0.05,0,0,0.2,0.12,0.05,0,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,35,2.8682565758373344e-13,7.209788321915767e-13,1.245911086786668e-13,3.131472496713842e-13,0.2,0.12,0.05,0,1,0.2,0.12,0.05,0,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,36,3.67390306887113e-13,7.209788321915767e-13,1.595961957145397e-13,3.131472496713842e-13,0.2,0.14,0.055,1,0,0.2,0.14,0.055,1,0,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,37,4.207943807014571e-13,7.209788321915767e-13,1.8274005491180947e-13,3.131472496713842e-13,0.2,0.14,0.055,1,1,0.2,0.14,0.055,1,1,0.0,0.0,0.0,0.0,0.0
Ioff_eq,ALL,38,4.858782470624769e-13,7.209788321915767e-13,2.1099484968180796e-13,3.131472496713842e-13,0.2,0.14,0.055,0,0,0.2,0.14,0.055,0,0,0.0,0.0,0.0,0.0,0.0
