target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
Ion_fixedV,ALL,0,0.0709559316417665,0.07088644125704491,0.0297716005810934,0.029743419897937242,0.2,0.18,0.055,1,0,0.2,0.18,0.055,1,0,0.00019310479781097455,-0.0022013863939628208,-0.00017856034345868467,0.002174467930854007,-0.0012198607625759905
Ion_fixedV,ALL,1,0.0780601036244412,0.07789986655468395,0.03264297415757541,0.032578418158129584,0.2,0.18,0.055,1,1,0.2,0.18,0.055,1,1,0.0002644399249720664,-0.002126069679734428,-0.00017209990852734336,0.002193230288030463,0.0014432607994422143
Ion_fixedV,ALL,2,0.056255883580445,0.05627507160948375,0.02376914108144536,0.0237770304381527,0.2,0.18,0.055,0,0,0.2,0.18,0.055,0,0,-0.00028255641527948685,-0.0023455970870736565,-0.00016702254261190318,-0.0032129947589419317,-0.0011904548052712016
Ion_fixedV,ALL,3,0.0638380487972198,0.06364290500088243,0.026875519061427353,0.02679584749114757,0.2,0.18,0.055,0,1,0.2,0.18,0.055,0,1,1.8429392457619541e-06,-0.00217299008459122,-0.0001488600836455589,-0.0032633499270741597,0.0014035491794584232
Ion_fixedV,ALL,4,0.0695001487141086,0.06985171553534464,0.029180849296244604,0.029323587416522023,0.2,0.18,0.057,1,0,0.2,0.18,0.057,1,0,0.00019633545371789296,-0.0021724162550344774,-0.0006548926629443485,0.002163976177362201,-0.001185071269785567
Ion_fixedV,ALL,5,0.0761139477133069,0.07635421480020943,0.03185826040377745,0.031955215770900075,0.2,0.18,0.057,1,1,0.2,0.18,0.057,1,1,0.0002684949604690701,-0.002131589858327061,-0.0007228113169321659,0.002161794188359636,0.0014036714258850226
Ion_fixedV,ALL,6,0.0549603872855819,0.05528185414046893,0.023236152613550658,0.023368470391606187,0.2,0.18,0.057,0,0,0.2,0.18,0.057,0,0,-0.00028322413093064827,-0.0023261310605130346,-0.0006183641580923905,-0.003198495625401847,-0.0011809696175214413
Ion_fixedV,ALL,7,0.0625546176869849,0.06250117168851821,0.026351263005103723,0.02632941764712783,0.2,0.18,0.057,0,1,0.2,0.18,0.057,0,1,-1.9990514842902485e-05,-0.0021780853355812726,-0.0006220612791003077,-0.0032172758564774995,0.001391174826144379
Ion_fixedV,ALL,8,0.0737112550461186,0.07326239400881196,0.030887505571996824,0.030705912402868196,0.2,0.18,0.05,1,0,0.2,0.18,0.05,1,0,0.00024845342340768184,-0.0022955547239143924,0.0008194067716249265,0.0021960376669449035,-0.0012380860174471308
Ion_fixedV,ALL,9,0.0816460589731088,0.08040196166942892,0.03408517224767813,0.033585364058022364,0.2,0.18,0.05,1,1,0.2,0.18,0.05,1,1,0.00030582670649437205,-0.002271940744240055,0.0008640418259892612,0.002248571181371517,0.0014632102217456123
Ion_fixedV,ALL,10,0.0583554498259938,0.05860799504965741,0.02463155047087881,0.024735169640925366,0.2,0.18,0.05,0,0,0.2,0.18,0.05,0,0,-0.00022463081470277757,-0.002386216824670555,0.0007819864535986199,-0.0032403830462499174,-0.0011712422622667874
Ion_fixedV,ALL,11,0.0661532237765902,0.06539043928185584,0.027819624445421,0.027508795146611184,0.2,0.18,0.05,0,1,0.2,0.18,0.05,0,1,1.1197795370208041e-05,-0.002268299836468941,0.0007543064260607935,-0.0033409842882610973,0.0013769191988467356
Ion_fixedV,ALL,12,0.0487586121861294,0.04867620481449664,0.020675540186750604,0.02064141367516936,0.2,0.1,0.055,1,0,0.2,0.1,0.055,1,0,0.00020511772125018978,-0.011371734635190478,-0.00013024631557755127,0.002276239241618896,-0.0013136173927341588
Ion_fixedV,ALL,13,0.0568295607003642,0.05665296053292157,0.02400495247692916,0.023932374182449364,0.2,0.1,0.055,1,1,0.2,0.1,0.055,1,1,0.000264746154812201,-0.011092804879031064,-0.00014398330265976255,0.002375643282503006,0.0015531172667920146
