target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
ON_OFF_eq,ALL,0,79898811594.5467,80004078843.20926,79898811594.5467,80004078843.20926,0.2,0.18,0.055,1,0,0.2,0.18,0.055,1,0,2728659223.35,3504047008.63625,3733055482.52125,-4794302714.66,4933720821.655
ON_OFF_eq,ALL,1,69184144834.27531,72303465249.02206,69184144834.27531,72303465249.02206,0.2,0.18,0.055,1,1,0.2,0.18,0.055,1,1,9744828608.295,4666567029.849375,4539551558.63375,-10990536278.66,-5500668196.65
ON_OFF_eq,ALL,2,81443318539.81007,80894515735.61172,81443318539.81007,80894515735.61172,0.2,0.18,0.055,0,0,0.2,0.18,0.055,0,0,631941925.25,2347804472.10625,2858199000.1125,7334175384.46,-2158906754.95
ON_OFF_eq,ALL,3,102461543531.4404,101840936652.70695,102461543531.4404,101840936652.70695,0.2,0.18,0.055,0,1,0.2,0.18,0.055,0,1,7930475858.295,1970871935.78625,2225658958.67375,16728937184.8,2997699405.77
ON_OFF_eq,ALL,4,94384614227.36372,93592805546.06564,94384614227.36372,93592805546.06564,0.2,0.18,0.057,1,0,0.2,0.18,0.057,1,0,2937277251.12,4929890236.87625,15199024092.43375,-4247686413.44,5009285279.73
ON_OFF_eq,ALL,5,81798829535.8072,84200380048.92339,81798829535.8072,84200380048.92339,0.2,0.18,0.057,1,1,0.2,0.18,0.057,1,1,10665228838.115,4947985222.974375,15765293912.97,-11453834635.16,-5665330196.5
ON_OFF_eq,ALL,6,90402796131.62006,90381876361.94606,90402796131.62006,90381876361.94606,0.2,0.18,0.057,0,0,0.2,0.18,0.057,0,0,115306308.77,4323883395.7525,12833545082.89,6390169241.64,-3252670971.11
ON_OFF_eq,ALL,7,120684395172.74226,119399466862.72853,120684395172.74226,119399466862.72853,0.2,0.18,0.057,0,1,0.2,0.18,0.057,0,1,8449515120.875,4821727069.3475,14537116207.85875,17351353883.88,4240046356.16
ON_OFF_eq,ALL,8,68465837420.76109,60026497585.00024,68465837420.76109,60026497585.00024,0.2,0.18,0.05,1,0,0.2,0.18,0.05,1,0,2333459565.8,7235167577.883125,-18731264902.09375,-6526860923.32,6126339220.16
ON_OFF_eq,ALL,9,34809787299.58363,37994416871.35936,34809787299.58363,37994416871.35936,0.2,0.18,0.05,1,1,0.2,0.18,0.05,1,1,4564945880.27,4846893320.14875,-20536946568.175,-13722978627.54,-6920227756.41
ON_OFF_eq,ALL,10,66523697841.2634,67045580589.419205,66523697841.2634,67045580589.419205,0.2,0.18,0.05,0,0,0.2,0.18,0.05,0,0,438447928.655,4083031437.685,-15414335647.28375,9793402687.04,-2047976977.965
ON_OFF_eq,ALL,11,94275064159.99506,94683867418.02362,94275064159.99506,94683867418.02362,0.2,0.18,0.05,0,1,0.2,0.18,0.05,0,1,7463277808.875,9504896508.015625,-16120740731.57,20726593314.55,3034764581.22
ON_OFF_eq,ALL,12,97572337450.19193,97934792453.60686,97572337450.19193,97934792453.60686,0.2,0.1,0.055,1,0,0.2,0.1,0.055,1,0,3879566924.035,17658465123.675,4126794233.4975,-2208235254.84,4478491605.415
ON_OFF_eq,ALL,13,89465955434.64597,91149583510.11453,89465955434.64597,91149583510.11453,0.2,0.1,0.055,1,1,0.2,0.1,0.055,1,1,12143222873.335,19820654504.31125,4219974330.07375,-10077748780.52,-4956228138.41
ON_OFF_eq,ALL,14,85205460567.91776,84148478993.01329,85205460567.91776,84148478993.01329,0.2,0.1,0.055,0,0,0.2,0.1,0.055,0,0,871517632.33,10119802607.99625,4084612541.61,3537822564.74,-4464985529.61
ON_OFF_eq,ALL,15,121088854835.02193,120193141411.43741,121088854835.02193,120193141411.43741,0.2,0.1,0.055,0,1,0.2,0.1,0.055,0,1,9697132417.665,14830114496.3675,4540441744.10375,15346879458.52,5778865000.84
