target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
SS,ALL,0,140.05669634458172,140.0384084971894,140.05669634458172,140.0384084971894,0.2,0.18,0.055,1,0,0.2,0.18,0.055,1,0,-1.612130255587399,-5.266580915059894,-2.979630732294172,9.625370934605598,-3.075458757765591
SS,ALL,1,148.6273666226231,146.4988292840781,148.6273666226231,146.4988292840781,0.2,0.18,0.055,1,1,0.2,0.18,0.055,1,1,-0.8173831031098961,-3.1624855553917586,-3.4906942036747934,6.961942973732948,3.528757651168853
SS,ALL,2,99.58148870924278,105.9388605676545,99.58148870924278,105.9388605676545,0.2,0.18,0.055,0,0,0.2,0.18,0.055,0,0,-6.592777544483543,-6.024989229254425,-4.373070570547133,-14.471787650585174,-5.969504977557808
SS,ALL,3,134.61833372127668,134.0255466024589,134.61833372127668,134.0255466024589,0.2,0.18,0.055,0,1,0.2,0.18,0.055,0,1,-0.2058433817513287,-1.8319245393201709,-3.5143684954568744,-10.767981133461,7.001946115959436
SS,ALL,4,127.08316924648088,129.7071508659293,127.08316924648088,129.7071508659293,0.2,0.18,0.057,1,0,0.2,0.18,0.057,1,0,-2.6543118281289937,-6.549541637655348,-9.62079977368936,7.59589653134346,-2.550960807055235
SS,ALL,5,129.4941388617089,134.33695416464454,129.4941388617089,134.33695416464454,0.2,0.18,0.057,1,1,0.2,0.18,0.057,1,1,-1.6219252398610116,-5.065233069974929,-11.145414853673428,5.635687831044197,3.0397039848566054
SS,ALL,6,117.63307284012446,114.50712288073076,117.63307284012446,114.50712288073076,0.2,0.18,0.057,0,0,0.2,0.18,0.057,0,0,-4.018666502367705,-2.2519501448981463,-6.037899407297373,-11.524922316074372,-4.810055820010603
SS,ALL,7,135.06147703898995,133.41708054681348,135.06147703898995,133.41708054681348,0.2,0.18,0.057,0,1,0.2,0.18,0.057,0,1,0.7642302214168012,-0.09218208929523826,-7.662091308813542,-8.587238583564758,5.678501288164407
SS,ALL,8,150.4314471374144,154.50250329116793,150.4314471374144,154.50250329116793,0.2,0.18,0.05,1,0,0.2,0.18,0.05,1,0,-2.2172919572144747,-4.5532937663793565,12.249553700760007,9.503636955022811,-4.03534460041672
SS,ALL,9,169.61618572266036,171.975111746582,169.61618572266036,171.975111746582,0.2,0.18,0.05,1,1,0.2,0.18,0.05,1,1,1.9088312348164618,-0.8852892554923892,14.032862986195832,8.058892314434052,4.863244697712362
SS,ALL,10,131.01065847597414,130.08235439806805,131.01065847597414,130.08235439806805,0.2,0.18,0.05,0,0,0.2,0.18,0.05,0,0,-2.7566781754232945,-1.8752663671411574,11.074127522334457,-14.375508045554161,-5.726959075704217
SS,ALL,11,146.5829666120684,149.18148317891203,146.5829666120684,149.18148317891203,0.2,0.18,0.05,0,1,0.2,0.18,0.05,0,1,1.3479945252463221,-1.1099476016685366,11.293654686901718,-12.386565623283387,6.605317288450896
SS,ALL,12,137.48362617179723,136.2574548372748,137.48362617179723,136.2574548372748,0.2,0.1,0.055,1,0,0.2,0.1,0.055,1,0,0.40174777010455726,-10.957425604760648,-3.2191350814327597,8.019738342165947,-1.4661642731912434
SS,ALL,13,138.09402224904616,136.13771520653037,138.09402224904616,136.13771520653037,0.2,0.1,0.055,1,1,0.2,0.1,0.055,1,1,-0.33333819640800355,-12.302114597931505,-3.3888236061297357,6.994031675457954,1.6892682132311165
SS,ALL,14,118.04910106046256,117.03090047481093,118.04910106046256,117.03090047481093,0.2,0.1,0.055,0,0,0.2,0.1,0.055,0,0,-1.5528245386853814,-7.97978708319366,-1.9941764481179416,-12.341372703313828,-2.5796286083757876
SS,ALL,15,133.2388549723005,120.60777212211562,133.2388549723005,120.60777212211562,0.2,0.1,0.055,0,1,0.2,0.1,0.055,0,1,-0.9715624513849616,-11.111228620167822,-2.9798767650313676,-10.87556756556034,3.067315895799547
SS,ALL,16,134.85776489543863,133.59888984141216,134.85776489543863,133.59888984141216,0.2,0.1,0.057,1,0,0.2,0.1,0.057,1,0,0.44826630333438516,-10.004173100125044,-7.624090114887804,8.140354601144791,-0.8401603955961764
SS,ALL,17,127.71889527744143,130.3805798762208,127.71889527744143,130.3805798762208,0.2,0.1,0.057,1,1,0.2,0.1,0.057,1,1,-0.15920989576727151,-12.2141276444681,-9.052809768300504,7.271795310378074,1.056240922473371
SS,ALL,18,111.36604103876344,113.96904315146064,111.36604103876344,113.96904315146064,0.2,0.1,0.057,0,0,0.2,0.1,0.057,0,0,-1.0879071330092847,-7.249889368526637,-6.702146754842252,-12.523772087693214,-1.945933117326349
SS,ALL,19,112.33914942492484,113.11257832004463,112.33914942492484,113.11257832004463,0.2,0.1,0.057,0,1,0.2,0.1,0.057,0,1,-1.35531865445897,-11.294343344587833,-9.05045677304268,-11.004397695064545,2.33840187901631
SS,ALL,20,149.46684508146623,149.4453285118443,149.46684508146623,149.4453285118443,0.2,0.1,0.05,1,0,0.2,0.1,0.05,1,0,-0.5200346457958221,-11.5919751833193,10.662213143892586,9.61884958922863,-2.2024151594378054
SS,ALL,21,153.46754930965778,154.94647787706901,153.46754930965778,154.94647787706901,0.2,0.1,0.05,1,1,0.2,0.1,0.05,1,1,1.082283336725086,-11.925439636409283,12.23421217052266,7.382021070122719,2.694704954456538
SS,ALL,22,120.81847321329796,118.56150540841091,120.81847321329796,118.56150540841091,0.2,0.1,0.05,0,0,0.2,0.1,0.05,0,0,-4.310416440274566,-9.250580566115678,8.032505001518876,-14.596928344964981,-4.79176963429898
SS,ALL,23,151.129540105809,138.87075728818655,151.129540105809,138.87075728818655,0.2,0.1,0.05,0,1,0.2,0.1,0.05,0,1,-0.29975212559103964,-10.409503233972936,11.8078952566348,-11.322841441631317,5.616265583857894
SS,ALL,24,130.54010418691144,133.4737164580917,130.54010418691144,133.4737164580917,0.2,0.12,0.055,1,0,0.2,0.12,0.055,1,0,-1.126137281022966,-11.397101014740764,-3.9704418577440084,8.397396184802055,-1.9086905381456019
SS,ALL,25,132.20758510383433,135.34024674904364,132.20758510383433,135.34024674904364,0.2,0.12,0.055,1,1,0.2,0.12,0.055,1,1,-1.6657909048907458,-11.724938361663371,-4.167180980481207,7.155868541002274,2.263593556173146
SS,ALL,26,119.1175592291924,114.84839424727271,119.1175592291924,114.84839424727271,0.2,0.12,0.055,0,0,0.2,0.12,0.055,0,0,-1.2915856021083891,-9.329679634571075,-1.8951851266250015,-12.87393187046051,-3.2399134469404816
SS,ALL,27,117.58350818546198,120.79548316977143,117.58350818546198,120.79548316977143,0.2,0.12,0.055,0,1,0.2,0.12,0.055,0,1,-1.3916240322217346,-10.94715825567022,-3.138583023007959,-11.126836621165275,3.9209938366524875
SS,ALL,28,137.85144774825042,136.98522751788238,137.85144774825042,136.98522751788238,0.2,0.12,0.057,1,0,0.2,0.12,0.057,1,0,0.6503488827496767,-8.559647059887647,-6.491195289548487,8.750259753465652,-0.8432296238839626
SS,ALL,29,123.84557507198257,131.8846509894346,123.84557507198257,131.8846509894346,0.2,0.12,0.057,1,1,0.2,0.12,0.057,1,1,-0.5712719766609371,-10.753315275441855,-8.947531175296753,7.608622425794602,1.0694574741274119
SS,ALL,30,105.2246154723473,113.84099440850098,105.2246154723473,113.84099440850098,0.2,0.12,0.057,0,0,0.2,0.12,0.057,0,0,-1.5071423812024296,-7.271825415119529,-5.275199276767671,-13.38032949447632,-2.203201014418155
SS,ALL,31,110.49243178074651,113.80830768302376,110.49243178074651,113.80830768302376,0.2,0.12,0.057,0,1,0.2,0.12,0.057,0,1,-1.4814792509190737,-10.668346551526337,-8.747236544042826,-11.502386103868485,2.7290669210255145
SS,ALL,32,149.68235365714168,150.8919916075428,149.68235365714168,150.8919916075428,0.2,0.12,0.05,1,0,0.2,0.12,0.05,1,0,-0.18183578299358488,-11.083147009648382,10.859410190135241,10.864313757419586,-3.0454423020593824
SS,ALL,33,164.48503377087587,161.47733002561827,164.48503377087587,161.47733002561827,0.2,0.12,0.05,1,1,0.2,0.12,0.05,1,1,2.3926252243854105,-9.531195397563279,13.27292292777449,8.127186930775643,3.7370940128713848
SS,ALL,34,108.29371433223427,111.19432546219097,108.29371433223427,111.19432546219097,0.2,0.12,0.05,0,0,0.2,0.12,0.05,0,0,-4.606115037892014,-11.877412191908807,6.854557203315198,-16.48712406694889,-6.16827344853431
SS,ALL,35,137.30357137993732,140.6115710941105,137.30357137993732,140.6115710941105,0.2,0.12,0.05,0,1,0.2,0.12,0.05,0,1,0.3705763548985124,-9.961500941906124,11.933120829518884,-12.523918252587318,7.314595651123673
SS,ALL,36,133.6447811319531,134.85242559196018,133.6447811319531,134.85242559196018,0.2,0.14,0.055,1,0,0.2,0.14,0.055,1,0,-0.009701178465038538,-9.8361807028763,-4.860884192120284,7.779977259635925,-1.9207851361855866
